date,day_of_week,is_weekend,weather,exam_day,event,attendance_pct,meals_prepared,meals_consumed,surplus_meals
2025-04-09,Wednesday,0,Rainy,0,None,75.7,366,337,29
2025-04-10,Thursday,0,Hot,0,None,72.9,345,326,19
2025-04-11,Friday,0,Sunny,0,None,89.6,473,460,13
2025-04-12,Saturday,1,Sunny,0,Workshop,71.8,403,385,18
2025-04-13,Sunday,1,Sunny,0,None,67.9,358,342,16
2025-04-14,Monday,0,Cloudy,1,Cultural Event,94.7,549,522,27
2025-04-15,Tuesday,0,Sunny,0,None,89.6,473,455,18
2025-04-16,Wednesday,0,Cloudy,0,None,82.7,412,401,11
2025-04-17,Thursday,0,Rainy,0,None,72.1,348,343,5
2025-04-18,Friday,0,Sunny,0,Workshop,89.2,501,469,32
2025-04-19,Saturday,1,Rainy,0,None,55.6,269,269,0
2025-04-20,Sunday,1,Rainy,0,None,55.3,267,259,8
2025-04-21,Monday,0,Cloudy,0,None,77.3,385,367,18
2025-04-22,Tuesday,0,Sunny,0,None,78.3,414,391,23
2025-04-23,Wednesday,0,Sunny,0,None,81.9,432,418,14
2025-04-24,Thursday,0,Rainy,0,None,67.7,327,312,15
2025-04-25,Friday,0,Sunny,0,None,81.7,431,416,15
2025-04-26,Saturday,1,Sunny,0,None,69.5,367,350,17
2025-04-27,Sunday,1,Cloudy,0,Festival,62.0,328,319,9
2025-04-28,Monday,0,Rainy,0,None,69.2,335,328,7
2025-04-29,Tuesday,0,Cloudy,0,Workshop,85.2,451,420,31
2025-04-30,Wednesday,0,Sunny,0,None,76.8,405,391,14
2025-05-01,Thursday,0,Rainy,0,None,79.0,382,366,16
2025-05-02,Friday,0,Sunny,0,Cultural Event,90.2,506,489,17
2025-05-03,Saturday,1,Sunny,0,None,65.4,345,329,16
2025-05-04,Sunday,1,Sunny,0,Workshop,66.9,376,363,13
2025-05-05,Monday,0,Sunny,0,None,86.1,455,430,25
2025-05-06,Tuesday,0,Cloudy,0,None,76.9,383,364,19
2025-05-07,Wednesday,0,Sunny,0,None,83.2,439,415,24
2025-05-08,Thursday,0,Sunny,0,None,85.4,451,449,2
2025-05-09,Friday,0,Rainy,0,None,65.1,315,295,20
2025-05-10,Saturday,1,Cloudy,0,None,69.2,345,325,20
2025-05-11,Sunday,1,Hot,0,None,58.8,278,263,15
2025-05-12,Monday,0,Sunny,1,None,80.6,466,448,18
2025-05-13,Tuesday,0,Rainy,0,None,72.4,350,348,2
2025-05-14,Wednesday,0,Rainy,0,None,73.1,353,353,0
2025-05-15,Thursday,0,Sunny,0,None,92.3,487,483,4
2025-05-16,Friday,0,Sunny,0,None,78.5,414,392,22
2025-05-17,Saturday,1,Rainy,0,None,56.2,272,264,8
2025-05-18,Sunday,1,Sunny,0,None,59.7,316,304,12
2025-05-19,Monday,0,Rainy,0,None,69.3,335,330,5
2025-05-20,Tuesday,0,Rainy,0,Workshop,70.6,363,346,17
2025-05-21,Wednesday,0,Cloudy,0,None,78.2,390,370,20
2025-05-22,Thursday,0,Sunny,0,None,78.6,415,401,14
2025-05-23,Friday,0,Sunny,0,None,79.7,421,403,18
2025-05-24,Saturday,1,Cloudy,0,Festival,63.4,336,317,19
2025-05-25,Sunday,1,Sunny,0,None,67.4,356,336,20
2025-05-26,Monday,0,Rainy,0,None,81.6,395,370,25
2025-05-27,Tuesday,0,Rainy,0,Festival,71.2,366,354,12
2025-05-28,Wednesday,0,Rainy,0,Workshop,75.2,386,368,18
2025-05-29,Thursday,0,Sunny,0,Festival,87.2,489,466,23
2025-05-30,Friday,0,Cloudy,0,None,80.8,402,388,14
2025-05-31,Saturday,1,Rainy,0,Sports Event,73.1,375,375,0
2025-06-01,Sunday,1,Cloudy,0,Sports Event,68.3,362,339,23
2025-06-02,Monday,0,Rainy,1,None,65.3,345,339,6
2025-06-03,Tuesday,0,Hot,0,None,74.3,352,339,13
